timestamp,can_id,data_bytes
Starting,CAN,playback...
000271D5,00002014,00 00 00 00 00 4C 00 00
000271D5,00002114,00 00 00 00 FF FF FF FF
000271D5,00002214,01 1B 01 B7 02 FF FF FF
000271D5,00002314,00 00 00 00 00 00 00 00
000271D5,00002414,00 00 00 01 20 00 FF 18
000271EB,00002014,00 00 00 00 00 5B 00 00
000271EB,00002114,00 00 00 00 FF FF FF FF
000271EB,00002214,01 1D 01 B7 02 FF FF FF
000271EB,00002314,00 00 00 00 00 00 00 00
000271EB,00002414,00 00 00 01 20 00 FF 18
00027204,00002014,00 00 00 00 00 84 00 00
00027204,00002114,00 00 00 00 FF FF FF FF
00027204,00002214,01 1D 01 B7 02 FF FF FF
00027204,00002314,00 00 00 00 00 00 00 00
00027204,00002414,00 00 00 01 20 00 FF 18
00027220,00002014,00 00 00 00 00 48 00 01
00027220,00002114,00 00 00 00 FF FF FF FF
00027220,00002214,01 1B 01 B7 02 FF FF FF
00027220,00002314,00 00 00 00 00 00 00 00
00027220,00002414,00 00 00 01 20 00 FF 18
00027236,00002014,00 00 00 00 00 79 00 01
00027236,00002114,00 00 00 00 FF FF FF FF
00027236,00002214,01 1C 01 B7 02 FF FF FF
00027236,00002314,00 00 00 00 00 00 00 00
00027236,00002414,00 00 00 01 20 00 FF 18
00027250,00002014,00 00 00 00 00 3D 00 00
00027250,00002114,00 00 00 00 FF FF FF FF
00027250,00002214,01 1D 01 B7 02 FF FF FF
00027250,00002314,00 00 00 00 00 00 00 00
00027250,00002414,00 00 00 01 20 00 FF 18
0002726A,00002014,00 00 00 00 00 36 00 01
0002726A,00002114,00 00 00 00 FF FF FF FF
0002726A,00002214,01 1C 01 B5 02 FF FF FF
0002726A,00002314,00 00 00 00 00 00 00 00
0002726A,00002414,00 00 00 01 20 00 FF 18
00027285,00002014,00 00 00 00 00 06 00 00
00027285,00002114,00 00 00 00 FF FF FF FF
00027285,00002214,01 1C 01 B7 02 FF FF FF
00027285,00002314,00 00 00 00 00 00 00 00
00027285,00002414,00 00 00 01 20 00 FF 18
0002729C,00002014,00 00 00 00 FF C2 00 00
0002729C,00002114,00 00 00 00 FF FF FF FF
0002729C,00002214,01 1C 01 B7 02 FF FF FF
0002729C,00002314,00 00 00 00 00 00 00 00
0002729C,00002414,00 00 00 01 20 00 FF 18
000272B4,00002014,00 00 00 00 00 7A 00 00
000272B4,00002114,00 00 00 00 FF FF FF FF
000272B6,00002214,01 1B 01 B7 02 FF FF FF
000272B6,00002314,00 00 00 00 00 00 00 00
000272B6,00002414,00 00 00 01 20 00 FF 18
000272D1,00002014,00 00 00 00 00 A5 00 00
000272D1,00002114,00 00 00 00 FF FF FF FF
000272D1,00002214,01 1C 01 B7 02 FF FF FF
000272D1,00002314,00 00 00 00 00 00 00 00
000272D1,00002414,00 00 00 01 20 00 FF 18
000272E8,00002014,00 00 00 00 FF C0 00 01
